bn:00040887n	wn:10134552n 
bn:00040888n	wn:09535622n 
bn:00040889n	wn:11003068n 
bn:00040890n	wn:10134760n 
bn:00040891n	wn:10134627n 
bn:00040892n	wn:11003276n 
bn:00040893n	wn:04828754n 
bn:00040894n	wn:04827503n 
bn:00040895n	wn:10134870n 
bn:00040896n	wn:03443543n 
bn:00040897n	wn:10134982n 
bn:00040898n	wn:10135129n 
bn:00040899n	wn:07319549n 
bn:00040900n	wn:02034129n 
bn:00040901n	wn:11003724n 
bn:00040902n	wn:11008647n 
bn:00040903n	wn:08766667n 
bn:00040904n	wn:11004106n 
bn:00040905n	wn:14677314n 
bn:00040906n	wn:10135197n 
bn:00040907n	wn:10135297n 
bn:00040908n	wn:10135411n 
bn:00040909n	wn:03443912n 
bn:00040910n	wn:11360022n 
bn:00040911n	wn:11004333n 
bn:00040912n	wn:00048051n 
bn:00040913n	wn:01119401n 
bn:00040914n	wn:00143536n 
bn:00040915n	wn:00058247n 
bn:00040916n	wn:00486670n 
bn:00040917n	wn:14199477n 
bn:00040918n	wn:14889728n 
bn:00040919n	wn:08794574n 
bn:00040920n	wn:03444169n 
bn:00040921n	wn:13371760n 
bn:00040922n	wn:13353446n 
bn:00040923n	wn:05141492n 
bn:00040924n	wn:10135842n 
bn:00040925n	wn:01564101n 
bn:00040926n	wn:10136615n 
bn:00040927n	wn:08641744n 
bn:00040928n	wn:10136463n 
bn:00040929n	wn:10136283n 
bn:00040930n	wn:14719025n 
bn:00040931n	wn:13213577n 
bn:00040932n	wn:07511626n 
bn:00040933n	wn:03444728n 
bn:00040934n	wn:03444838n 
bn:00040935n	wn:03444942n 
bn:00040936n	wn:03445217n 
bn:00040937n	wn:03445120n 
bn:00040938n	wn:03445472n 
bn:00040939n	wn:03445326n 
bn:00040940n	wn:01123304n 
bn:00040941n	wn:13373426n 
bn:00040942n	wn:05924730n 
bn:00040943n	wn:11171298n 
bn:00040944n	wn:11004485n 
bn:00040945n	wn:10136146n 
bn:00040946n	wn:10135953n 
bn:00040947n	wn:03444268n 
bn:00040948n	wn:00753973n 
bn:00040949n	wn:00741478n 
bn:00040950n	wn:01563945n 
bn:00040951n	wn:12885045n 
bn:00040952n	wn:02265076n 
bn:00040953n	wn:15295267n 
bn:00040954n	wn:15253895n 
bn:00040955n	wn:15230790n 
bn:00040956n	wn:10376523n 
bn:00040957n	wn:01400247n 
bn:00040958n	wn:11951511n 
bn:00040959n	wn:10789415n 
bn:00040960n	wn:12023726n 
bn:00040961n	wn:03444376n 
bn:00040962n	wn:11794139n 
bn:00040963n	wn:11790390n 
bn:00040964n	wn:11906127n 
bn:00040965n	wn:07740342n 
bn:00040966n	wn:11980318n 
bn:00040967n	wn:13213397n 
bn:00040968n	wn:14763674n 
bn:00040969n	wn:09289913n 
bn:00040970n	wn:03444601n 
bn:00040971n	wn:12578255n 
bn:00040972n	wn:12000356n 
bn:00040973n	wn:02343320n 
bn:00040974n	wn:07178839n 
bn:00040975n	wn:08250978n 
bn:00040976n	wn:11620389n 
